Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,LAC,Michael Olowokandi,University of the Pacific,500,13129,4135,3414,327,.435,,.597,26.3,8.3,6.8,0.7,2.5,.009
2,VAN,Mike Bibby,University of Arizona,1001,33962,14698,3103,5517,.436,.379,.802,33.9,14.7,3.1,5.5,73.2,.104
3,DEN,Raef LaFrentz,University of Kansas,563,14545,5690,3423,606,.466,.363,.711,25.8,10.1,6.1,1.1,39.4,.130
4,TOR,Antawn Jamison,University of North Carolina,1061,37390,19958,8102,1754,.452,.347,.725,35.2,18.8,7.6,1.7,87.7,.113
5,GSW,Vince Carter,University of North Carolina,1067,37267,22223,5350,4030,.443,.376,.798,34.9,20.8,5.0,3.8,111.3,.143
6,DAL,Robert Traylor,University of Michigan,438,6243,2085,1640,312,.474,.167,.577,14.3,4.8,3.7,0.7,13.3,.102
7,SAC,Jason Williams,University of Florida,788,23188,8266,1810,4611,.398,.327,.813,29.4,10.5,2.3,5.9,38.5,.080
8,PHI,Larry Hughes,Saint Louis University,727,22368,10242,3039,2290,.406,.309,.757,30.8,14.1,4.2,3.1,32.3,.069
9,MIL,Dirk Nowitzki,,1108,39975,25051,9096,2923,.475,.381,.877,36.1,22.6,8.2,2.6,173.9,.209
10,BOS,Paul Pierce,University of Kansas,1102,40360,24021,6651,4305,.447,.370,.806,36.6,21.8,6.0,3.9,138.4,.165
11,DET,Bonzi Wells,Ball State University,591,15133,7147,2737,1249,.460,.327,.697,25.6,12.1,4.6,2.1,29.4,.093
12,ORL,Michael Doleac,University of Utah,587,8789,2882,1955,343,.439,.125,.791,15.0,4.9,3.3,0.6,12.7,.070
13,ORL,Keon Clark,University of Nevada Las Vegas,353,7971,2882,2096,322,.500,.053,.645,22.6,8.2,5.9,0.9,18.2,.110
14,HOU,Michael Dickerson,University of Arizona,212,7490,3257,609,553,.432,.402,.784,35.3,15.4,2.9,2.6,9.6,.061
15,ORL,Matt Harpring,Georgia Institute of Technology,665,17584,7645,3366,907,.481,.333,.753,26.4,11.5,5.1,1.4,41.9,.114
16,HOU,Bryce Drew,Valparaiso University,243,3970,1081,295,524,.382,.371,.830,16.3,4.4,1.2,2.2,2.4,.030
17,MIN,Rasho Nesterovic,,811,17983,5519,4143,836,.502,.077,.585,22.2,6.8,5.1,1.0,39.9,.107
18,HOU,Mirsad Turkcan,,17,90,33,33,5,.368,.000,.625,5.3,1.9,1.9,0.3,0.0,-0.019
19,MIL,Pat Garrity,University of Notre Dame,552,11062,4017,1457,443,.417,.398,.806,20.0,7.3,2.6,0.8,18.7,.081
20,ATL,Roshown McLeod,Duke University,113,2130,817,308,124,.409,.111,.819,18.8,7.2,2.7,1.1,0.2,.004
21,CHH,Ricky Davis,University of Iowa,736,21927,9912,2550,2426,.446,.361,.781,29.8,13.5,3.5,3.3,28.0,.061
22,LAC,Brian Skinner,Baylor University,608,10910,2876,2841,288,.494,.333,.566,17.9,4.7,4.7,0.5,15.8,.070
23,DEN,Tyronn Lue,University of Nebraska,554,12564,4710,943,1727,.437,.391,.829,22.7,8.5,1.7,3.1,19.7,.075
24,SAS,Felipe Lopez,St. John's University,249,4145,1448,604,252,.432,.327,.659,16.6,5.8,2.4,1.0,3.1,.036
25,IND,Al Harrington,,947,27498,13012,5402,1621,.445,.352,.727,29.0,13.7,5.7,1.7,42.1,.073
26,LAL,Sam Jacobson,University of Minnesota,68,752,283,80,36,.511,.360,.739,11.1,4.2,1.2,0.5,1.1,.071
27,SEA,Vladimir Stepania,,270,3726,1118,1180,94,.425,.133,.536,13.8,4.1,4.4,0.3,5.2,.067
28,CHI,Corey Benjamin,Oregon State University,153,2191,835,259,143,.390,.289,.652,14.3,5.5,1.7,0.9,-0.9,-0.019
29,UTA,Nazr Mohammed,University of Kentucky,897,15182,5668,4491,352,.488,.000,.642,16.9,6.3,5.0,0.4,33.3,.105
30,DAL,Ansu Sesay,University of Mississippi,127,1301,401,223,62,.434,.276,.640,10.2,3.2,1.8,0.5,1.4,.051
31,LAL,Ruben Patterson,University of Cincinnati,649,15955,6953,2697,1150,.517,.179,.641,24.6,10.7,4.2,1.8,35.1,.106
32,SEA,Rashard Lewis,,989,32570,15311,5323,1708,.453,.388,.805,32.9,15.5,5.4,1.7,89.2,.131
33,SEA,Jelani McCoy,University of California Los Angeles,260,3824,1200,921,135,.539,,.490,14.7,4.6,3.5,0.5,5.1,.064
34,CHI,Shammond Williams,University of North Carolina,325,5351,1892,518,765,.401,.366,.798,16.5,5.8,1.6,2.4,8.8,.079
35,DAL,Bruno Sundov,,102,524,173,107,18,.356,.208,.526,5.1,1.7,1.0,0.2,-0.7,-0.062
36,SAC,Jerome James,Florida Agricultural and Mechanical University,358,4771,1540,1099,118,.485,.000,.617,13.3,4.3,3.1,0.3,2.9,.029
37,PHI,Casey Shaw,University of Toledo,9,14,2,3,0,.125,,,1.6,0.2,0.3,0.0,-0.1,-0.498
38,NYK,DeMarco Johnson,University of North Carolina at Charlotte,5,37,6,7,0,.333,,,7.4,1.2,1.4,0.0,-0.1,-0.091
