Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,HOU,Hakeem Olajuwon,University of Houston,1238,44222,26946,13748,3058,.512,.202,.712,35.7,21.8,11.1,2.5,162.8,.177
2,POR,Sam Bowie,University of Kentucky,511,14098,5564,3845,1075,.452,.302,.748,27.6,10.9,7.5,2.1,26.9,.091
3,CHI,Michael Jordan,University of North Carolina,1072,41011,32292,6672,5633,.497,.327,.835,38.3,30.1,6.2,5.3,214.0,.250
4,DAL,Sam Perkins,University of North Carolina,1286,36598,15324,7666,1975,.459,.362,.811,28.5,11.9,6.0,1.5,105.4,.138
5,PHI,Charles Barkley,Auburn University,1073,39330,23757,12546,4215,.541,.266,.735,36.7,22.1,11.7,3.9,177.2,.216
6,WSB,Melvin Turpin,University of Kentucky,361,6871,3071,1655,183,.516,.111,.777,19.0,8.5,4.6,0.5,13.7,.096
7,SAS,Alvin Robertson,University of Arkansas,779,24669,10882,4066,3929,.477,.295,.743,31.7,14.0,5.2,5.0,52.1,.101
8,LAC,Lancaster Gordon,University of Louisville,201,2581,1125,259,294,.391,.271,.767,12.8,5.6,1.3,1.5,-2.7,-0.050
9,KCK,Otis Thorpe,Providence College,1257,39822,17600,10370,2730,.546,.047,.687,31.7,14.0,8.2,2.2,106.4,.128
10,PHI,Leon Wood,California State University Fullerton,274,4531,1742,316,867,.392,.326,.792,16.5,6.4,1.2,3.2,6.7,.071
11,ATL,Kevin Willis,Michigan State University,1424,38362,17253,11901,1328,.487,.211,.713,26.9,12.1,8.4,0.9,81.8,.102
12,CLE,Tim McCormick,University of Michigan,483,10390,4030,2366,491,.535,.063,.703,21.5,8.3,4.9,1.0,21.5,.099
13,PHO,Jay Humphries,University of Colorado,788,23062,8772,2003,4339,.476,.297,.782,29.3,11.1,2.5,5.5,45.0,.094
14,LAC,Michael Cage,San Diego State University,1140,29716,8278,8646,1057,.515,.000,.664,26.1,7.3,7.6,0.9,74.4,.120
15,DAL,Terence Stansbury,Temple University,192,2984,1200,277,390,.444,.224,.779,15.5,6.3,1.4,2.0,2.4,.038
16,UTA,John Stockton,Gonzaga University,1504,47764,19711,4051,15806,.515,.384,.826,31.8,13.1,2.7,10.5,207.7,.209
17,NJN,Jeff Turner,Vanderbilt University,612,11244,3697,2036,635,.467,.344,.769,18.4,6.0,3.3,1.0,8.9,.038
18,IND,Vern Fleming,University of Georgia,893,24721,10125,3012,4293,.498,.181,.764,27.7,11.3,3.4,4.8,52.0,.101
19,POR,Bernard Thompson,California State University Fresno,204,2935,1078,352,266,.439,.000,.789,14.4,5.3,1.7,1.3,3.4,.056
20,DET,Tony Campbell,Ohio State University,690,15180,7994,2117,1019,.456,.254,.790,22.0,11.6,3.1,1.5,20.7,.065
21,MIL,Kenny Fields,University of California Los Angeles,184,2692,1140,464,188,.474,.188,.733,14.6,6.2,2.5,1.0,4.2,.074
22,PHI,Tom Sewell,Lamar University,21,87,20,4,6,.250,.000,.500,4.1,1.0,0.2,0.3,-0.4,-0.201
23,LAL,Earl Jones,University of the District of Columbia,14,50,13,10,4,.385,,.750,3.6,0.9,0.7,0.3,-0.1,-0.090
24,BOS,Michael Young,University of Houston,49,472,223,88,24,.465,.296,.711,9.6,4.6,1.8,0.5,1.1,.110
25,IND,Devin Durrant,Brigham Young University,63,807,317,132,85,.414,.000,.689,12.8,5.0,2.1,1.3,-0.2,-0.012
26,POR,Victor Fleming,Xavier University,,,,,,,,,,,,,,
27,CLE,Ron Anderson,California State University Fresno,664,15112,7056,2312,952,.471,.287,.814,22.8,10.6,3.5,1.4,24.2,.077
28,SEA,Cory Blackwell,University of Wisconsin,60,551,202,96,26,.367,.000,.509,9.2,3.4,1.6,0.4,-0.9,-0.081
29,IND,Stuart Gray,University of California Los Angeles,386,3457,906,1020,148,.446,.000,.663,9.0,2.3,2.6,0.4,3.3,.046
30,GSW,Steve Burtt,Iona College,101,1121,584,92,123,.426,.143,.695,11.1,5.8,0.9,1.2,0.0,.000
31,GSW,Jay Murphy,Boston College,67,436,160,111,13,.332,.000,.607,6.5,2.4,1.7,0.2,-0.5,-0.052
32,DET,Eric Turner,University of Michigan,,,,,,,,,,,,,,
33,POR,Steve Colter,New Mexico State University,526,9570,3319,1051,1482,.448,.289,.778,18.2,6.3,2.0,2.8,17.3,.087
34,WSB,Tony Costner,Saint Joseph's University,,,,,,,,,,,,,,
35,GSW,Othell Wilson,University of Virginia,127,2049,535,212,424,.454,.176,.746,16.1,4.2,1.7,3.3,1.4,.032
36,PHO,Charles Jones,University of Louisville,201,3009,1015,758,206,.493,.111,.611,15.0,5.0,3.8,1.0,4.5,.072
37,CHI,Ben Coleman,University of Maryland,227,3612,1494,928,128,.516,.000,.759,15.9,6.6,4.1,0.6,5.0,.067
38,DAL,Charlie Sitton,Oregon State University,43,304,91,60,26,.415,.000,.520,7.1,2.1,1.4,0.6,0.1,.008
39,SEA,Danny Young,Wake Forest University,574,9536,2622,709,1674,.437,.327,.835,16.6,4.6,1.2,2.9,20.2,.101
40,DAL,Anthony Teachey,Wake Forest University,,,,,,,,,,,,,,
41,DAL,Tom Sluby,University of Notre Dame,31,151,73,12,16,.517,.000,.619,4.9,2.4,0.4,0.5,0.2,.052
42,DEN,Willie White,University of Tennessee at Chattanooga,82,577,302,80,82,.432,.313,.741,7.0,3.7,1.0,1.0,0.3,.028
43,CHI,Greg Wiltjer,,,,,,,,,,,,,,,
44,WSB,Fred Reynolds,University of Texas at El Paso,,,,,,,,,,,,,,
45,GSW,Gary Plummer,Boston University,126,1439,531,307,66,.430,.143,.717,11.4,4.2,2.4,0.5,0.2,.006
46,POR,Jerome Kersey,Longwood University,1153,28115,11825,6339,2134,.465,.201,.690,24.4,10.3,5.5,1.9,69.5,.119
47,BOS,Ronnie Williams,University of Florida,,,,,,,,,,,,,,
48,PHI,James Banks,University of Georgia,,,,,,,,,,,,,,
49,CHI,Tim Dillon,Northern Illinois University,,,,,,,,,,,,,,
50,CLE,Ben McDonald,University of California Irvine,176,3692,1061,568,236,.468,.227,.727,21.0,6.0,3.2,1.3,2.5,.033
51,HOU,Jim Petersen,University of Minnesota,491,9802,3397,2354,487,.486,.071,.725,20.0,6.9,4.8,1.0,13.8,.067
52,SEA,Terry Williams,University of Alabama,,,,,,,,,,,,,,
53,WSB,Ricky Ross,University of Tulsa,,,,,,,,,,,,,,
54,KCK,Roosevelt Chapman,University of Dayton,,,,,,,,,,,,,,
55,GSW,Lewis Jackson,Alabama State University,,,,,,,,,,,,,,
56,KCK,Jeff Allen,St. John's University,,,,,,,,,,,,,,
57,SAS,Joe Binion,North Carolina Agricultural and Technical State University,11,51,14,18,1,.400,,.600,4.6,1.3,1.6,0.1,0.1,.092
58,ATL,Bobby Parks,University of Memphis,,,,,,,,,,,,,,
59,PHO,Murray Jarman,Clemson University,,,,,,,,,,,,,,
60,CLE,Leonard Mitchell,Louisiana State University,,,,,,,,,,,,,,
61,DAL,Jeff Cross,University of Maine,21,128,26,30,1,.250,,.560,6.1,1.2,1.4,0.0,-0.1,-0.038
62,UTA,David Pope,Norfolk State University,33,203,62,29,9,.356,.500,.529,6.2,1.9,0.9,0.3,-0.1,-0.026
63,NJN,Yommy Sangodeyi,Sam Houston State University,,,,,,,,,,,,,,
64,NYK,Curtis Green,University of Southern Mississippi,,,,,,,,,,,,,,
65,POR,Tim Kearney,West Virginia University,,,,,,,,,,,,,,
66,DET,Kevin Springman,Saint Joseph's University,,,,,,,,,,,,,,
67,MIL,Vernon Delancy,University of Florida,,,,,,,,,,,,,,
68,PHI,Butch Graves,Yale University,4,11,5,2,1,.333,.000,.200,2.8,1.3,0.5,0.3,-0.1,-0.243
69,LAL,George Singleton,Furman University,,,,,,,,,,,,,,
70,BOS,Rick Carlisle,University of Virginia,188,1461,422,141,201,.422,.229,.775,7.8,2.2,0.8,1.1,0.5,.015
71,IND,Ralph Jackson,University of California Los Angeles,1,12,2,1,4,.333,,,12.0,2.0,1.0,4.0,0.0,.069
72,CHI,Melvin Johnson,University of North Carolina at Charlotte,,,,,,,,,,,,,,
73,CLE,Art Aaron,Northwestern University,,,,,,,,,,,,,,
74,HOU,Willie Jackson,Centenary College of Louisiana,,,,,,,,,,,,,,
75,LAC,Marc Glass,University of Montana,,,,,,,,,,,,,,
76,WSB,Jim Grandholm,University of South Florida,26,168,79,50,8,.517,.529,.476,6.5,3.0,1.9,0.3,0.4,.123
77,CHI,Mark Halsel,Northeastern University,,,,,,,,,,,,,,
78,SAS,John Devereaux,Ohio University,,,,,,,,,,,,,,
79,DEN,Karl Tilleman,,,,,,,,,,,,,,,
80,KCK,Carl Henry,University of Kansas,28,149,78,19,4,.463,.400,.706,5.3,2.8,0.7,0.1,0.2,.049
81,ATL,Dickie Beal,University of Kentucky,,,,,,,,,,,,,,
82,PHO,Jeff Collins,University of Nevada Las Vegas,,,,,,,,,,,,,,
83,SEA,Jeff Jenkins,Xavier University,,,,,,,,,,,,,,
84,DAL,John Horrocks,North Texas State University,,,,,,,,,,,,,,
85,NJN,Hank Cornley,Illinois State University,,,,,,,,,,,,,,
86,UTA,Jim Rowinski,Purdue University,23,127,57,34,5,.417,,.844,5.5,2.5,1.5,0.2,0.3,.113
87,NYK,Bob Thornton,University of California Irvine,283,3386,844,712,99,.444,.222,.558,12.0,3.0,2.5,0.3,1.3,.018
88,POR,Brett Applegate,Brigham Young University,,,,,,,,,,,,,,
89,DET,Phillip Smith,University of New Mexico,,,,,,,,,,,,,,
90,SAS,Ozell Jones,California State University Fullerton,70,906,245,240,56,.582,.000,.398,12.9,3.5,3.4,0.8,1.2,.066
