Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,PHI,Allen Iverson,Georgetown University,914,37584,24368,3394,5624,.425,.313,.780,41.1,26.7,3.7,6.2,99.0,.126
2,TOR,Marcus Camby,University of Massachusetts Amherst,973,28684,9262,9513,1837,.466,.205,.670,29.5,9.5,9.8,1.9,81.6,.137
3,VAN,Shareef Abdur-Rahim,University of California,830,28882,15028,6239,2109,.472,.297,.810,34.8,18.1,7.5,2.5,71.2,.118
4,MIL,Stephon Marbury,Georgia Institute of Technology,846,31891,16297,2516,6471,.433,.325,.784,37.7,19.3,3.0,7.6,77.5,.117
5,MIN,Ray Allen,University of Connecticut,1227,44408,23804,5067,4218,.452,.401,.894,36.2,19.4,4.1,3.4,141.0,.152
6,BOS,Antoine Walker,University of Kentucky,893,31531,15647,6891,3170,.414,.325,.633,35.3,17.5,7.7,3.5,38.1,.058
7,LAC,Lorenzen Wright,University of Memphis,778,18535,6191,4943,622,.459,.069,.645,23.8,8.0,6.4,0.8,30.5,.079
8,NJN,Kerry Kittles,Villanova University,507,16929,7165,1983,1295,.439,.378,.780,33.4,14.1,3.9,2.6,44.8,.127
9,DAL,Samaki Walker,University of Louisville,445,7612,2376,2089,252,.462,.111,.630,17.1,5.3,4.7,0.6,14.2,.089
10,IND,Erick Dampier,Mississippi State University,987,24003,7309,7005,817,.498,.125,.626,24.3,7.4,7.1,0.8,52.7,.105
11,GSW,Todd Fuller,North Carolina State University,225,2500,835,674,46,.422,.000,.668,11.1,3.7,3.0,0.2,2.2,.041
12,CLE,Vitaly Potapenko,Wright State University,610,11608,3995,2725,418,.479,.167,.694,19.0,6.5,4.5,0.7,15.5,.064
13,CHH,Kobe Bryant,,1239,45390,31617,6575,5887,.454,.336,.838,36.6,25.5,5.3,4.8,173.3,.183
14,SAC,Peja Stojakovic,,804,26966,13647,3782,1408,.450,.401,.895,33.5,17.0,4.7,1.8,82.6,.147
15,PHO,Steve Nash,Santa Clara University,1202,37756,17285,3613,10249,.491,.428,.904,31.4,14.4,3.0,8.5,129.6,.165
16,CHH,Tony Delk,University of Kentucky,545,11702,4957,1351,1024,.408,.343,.769,21.5,9.1,2.5,1.9,19.5,.080
17,POR,Jermaine O'Neal,,967,26481,12960,7019,1344,.466,.147,.713,27.4,13.4,7.3,1.4,63.3,.115
18,NYK,John Wallace,Syracuse University,381,6143,2901,1061,281,.462,.300,.740,16.1,7.6,2.8,0.7,6.4,.050
19,NYK,Walter McCarty,University of Kentucky,593,10374,3056,1554,670,.392,.346,.698,17.5,5.2,2.6,1.1,13.7,.064
20,CLE,Zydrunas Ilgauskas,,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139
21,NYK,Dontae' Jones,Mississippi State University,15,91,44,9,5,.333,.261,,6.1,2.9,0.6,0.3,-0.3,-0.175
22,VAN,Roy Rogers,University of Alabama,137,2309,652,483,57,.483,.500,.532,16.9,4.8,3.5,0.4,1.7,.035
23,DEN,Efthimi Rentzias,,35,144,52,26,7,.339,.500,.889,4.1,1.5,0.7,0.2,0.2,.058
24,LAL,Derek Fisher,University of Arkansas at Little Rock,1206,31291,10288,2536,3687,.399,.373,.818,25.9,8.5,2.1,3.1,59.2,.091
25,UTA,Martin Muursepp,,83,951,389,181,50,.425,.323,.693,11.5,4.7,2.2,0.6,2.0,.100
26,DET,Jerome Williams,Georgetown University,587,12755,3865,3743,474,.502,.038,.645,21.7,6.6,6.4,0.8,37.9,.143
27,ORL,Brian Evans,Indiana University,102,1097,375,164,77,.381,.343,.820,10.8,3.7,1.6,0.8,1.7,.076
28,ATL,Priest Lauderdale,Central State University,74,525,255,143,33,.472,.000,.554,7.1,3.4,1.9,0.4,-0.8,-0.074
29,CHI,Travis Knight,University of Connecticut,371,4566,1276,1160,224,.438,.259,.696,12.3,3.4,3.1,0.6,7.9,.083
30,HOU,Othella Harrington,Georgetown University,709,13924,5212,3130,443,.505,.000,.738,19.6,7.4,4.4,0.6,23.1,.080
31,PHI,Mark Hendrickson,Washington State University,114,1508,381,316,63,.416,.167,.803,13.2,3.3,2.8,0.6,2.1,.067
32,PHI,Ryan Minor,University of Oklahoma,,,,,,,,,,,,,,
33,MIL,Moochie Norris,University of West Florida,445,7640,2272,868,1233,.401,.286,.740,17.2,5.1,2.0,2.8,10.0,.063
34,DAL,Shawn Harvey,West Virginia State University,,,,,,,,,,,,,,
35,SEA,Joseph Blair,University of Arizona,,,,,,,,,,,,,,
36,LAC,Doron Sheffer,University of Connecticut,,,,,,,,,,,,,,
37,DEN,Jeff McInnis,University of North Carolina,576,15927,5396,1170,2514,.431,.328,.796,27.7,9.4,2.0,4.4,23.1,.070
38,BOS,Steve Hamer,University of Tennessee,35,268,76,60,7,.526,.000,.552,7.7,2.2,1.7,0.2,0.2,.031
39,PHO,Russ Millard,University of Iowa,,,,,,,,,,,,,,
40,GSW,Marcus Mann,Mississippi Valley State University,,,,,,,,,,,,,,
41,SAC,Jason Sasser,Texas Tech University,14,108,30,15,4,.412,.333,.500,7.7,2.1,1.1,0.3,0.0,-0.014
42,HOU,Randy Livingston,Louisiana State University,203,2684,773,282,415,.406,.351,.771,13.2,3.8,1.4,2.0,2.3,.041
43,PHO,Ben Davis,University of Arizona,40,154,54,53,5,.356,,.462,3.9,1.4,1.3,0.1,0.1,.040
44,CHH,Malik Rose,Drexel University,813,13404,5003,3371,684,.437,.177,.743,16.5,6.2,4.1,0.8,26.5,.095
45,SEA,Joe Vogel,Colorado State University,,,,,,,,,,,,,,
46,POR,Marcus Brown,Murray State University,27,229,92,22,23,.381,.333,.714,8.5,3.4,0.8,0.9,0.3,.066
47,SEA,Ron Riley,Arizona State University,,,,,,,,,,,,,,
48,PHI,Jamie Feick,Michigan State University,201,4316,911,1437,139,.424,.400,.629,21.5,4.5,7.1,0.7,8.2,.091
49,ORL,Amal McCaskill,Marquette University,114,968,204,213,36,.377,.000,.609,8.5,1.8,1.9,0.3,0.5,.024
50,HOU,Terrell Bell,University of Georgia,,,,,,,,,,,,,,
51,VAN,Chris Robinson,Western Kentucky University,76,1095,350,117,104,.376,.374,.571,14.4,4.6,1.5,1.4,-0.1,-0.003
52,IND,Mark Pope,University of Kentucky,153,1634,285,261,63,.401,.179,.573,10.7,1.9,1.7,0.4,1.3,.038
53,MIL,Jeff Nordgaard,University of Wisconsin-Green Bay,13,48,18,14,3,.278,,.889,3.7,1.4,1.1,0.2,0.0,.043
54,UTA,Shandon Anderson,University of Georgia,719,15946,5327,2252,1007,.457,.316,.739,22.2,7.4,3.1,1.4,23.6,.071
55,WSB,Ronnie Henderson,Louisiana State University,,,,,,,,,,,,,,
56,CLE,Reggie Geary,University of Arizona,101,931,209,82,110,.344,.328,.493,9.2,2.1,0.8,1.1,0.6,.032
57,SEA,Drew Barry,Georgia Institute of Technology,60,598,134,67,111,.417,.381,.774,10.0,2.2,1.1,1.9,0.6,.051
58,DAL,Darnell Robinson,University of Arkansas,,,,,,,,,,,,,,
