Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,ORL,Dwight Howard,,697,25193,12731,9017,1043,.577,.051,.577,36.1,18.3,12.9,1.5,95.1,.181
2,CHA,Emeka Okafor,University of Connecticut,590,18702,7256,5847,512,.512,.000,.584,31.7,12.3,9.9,0.9,44.3,.114
3,CHI,Ben Gordon,University of Connecticut,669,19297,10636,1761,1797,.433,.404,.858,28.8,15.9,2.6,2.7,33.4,.083
4,LAC,Shaun Livingston,,390,8785,2612,992,1349,.463,.209,.792,22.5,6.7,2.5,3.5,11.2,.061
5,WAS,Devin Harris,University of Wisconsin,601,16682,7670,1427,2926,.441,.318,.797,27.8,12.8,2.4,4.9,40.4,.116
6,ATL,Josh Childress,Stanford University,387,10408,3548,1847,607,.522,.329,.779,26.9,9.2,4.8,1.6,25.7,.119
7,PHO,Luol Deng,Duke University,614,22022,9848,3920,1487,.460,.334,.771,35.9,16.0,6.4,2.4,56.0,.122
8,TOR,Rafael Araujo,Brigham Young University,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-0.013
9,PHI,Andre Iguodala,University of Arizona,695,25995,10460,4016,3424,.460,.329,.724,37.4,15.1,5.8,4.9,66.8,.123
10,CLE,Luke Jackson,University of Oregon,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010
11,GSW,Andris Biedrins,,510,11101,3244,3614,467,.594,.000,.503,21.8,6.4,7.1,0.9,30.7,.133
12,SEA,Robert Swift,,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054
13,POR,Sebastian Telfair,,548,11822,4049,868,1915,.391,.320,.779,21.6,7.4,1.6,3.5,4.6,.018
14,UTA,Kris Humphries,University of Minnesota,558,9987,3662,3065,367,.465,.118,.671,17.9,6.6,5.5,0.7,19.2,.092
15,BOS,Al Jefferson,,628,19243,10318,5628,922,.500,.071,.717,30.6,16.4,9.0,1.5,51.8,.129
16,UTA,Kirk Snyder,University of Nevada Reno,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061
17,ATL,Josh Smith,,676,23078,10371,5407,2170,.465,.283,.654,34.1,15.3,8.0,3.2,47.6,.099
18,NOH,J.R. Smith,,618,15680,8171,1971,1306,.426,.367,.744,25.4,13.2,3.2,2.1,31.5,.096
19,MIA,Dorell Wright,,433,10704,4035,1791,745,.431,.367,.811,24.7,9.3,4.1,1.7,22.4,.101
20,DEN,Jameer Nelson,Saint Joseph's University,583,16859,7364,1807,3025,.448,.380,.813,28.9,12.6,3.1,5.2,40.2,.114
21,UTA,Pavel Podkolzin,,6,28,4,9,0,.000,,.500,4.7,0.7,1.5,0.0,-0.1,-0.163
22,NJN,Viktor Khryapa,,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041
23,POR,Sergei Monia,,26,343,77,52,19,.333,.265,.714,13.2,3.0,2.0,0.7,-0.2,-0.025
24,BOS,Delonte West,Saint Joseph's University,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099
25,BOS,Tony Allen,Oklahoma State University,545,11322,4339,1662,720,.475,.269,.741,20.8,8.0,3.0,1.3,26.3,.111
26,SAC,Kevin Martin,Western Carolina University,552,16985,9805,1823,1084,.443,.385,.867,30.8,17.8,3.3,2.0,52.9,.150
27,LAL,Sasha Vujacic,,476,7582,2669,882,612,.395,.371,.870,15.9,5.6,1.9,1.3,14.8,.094
28,SAS,Beno Udrih,,628,14781,5715,1381,2275,.462,.352,.826,23.5,9.1,2.2,3.6,25.3,.082
29,IND,David Harrison,University of Colorado,189,2686,949,549,47,.530,,.525,14.2,5.0,2.9,0.2,3.2,.057
