Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,ORL,Shaquille O'Neal,Louisiana State University,1207,41918,28596,13099,3026,.582,.045,.527,34.7,23.7,10.9,2.5,181.7,.208
2,CHH,Alonzo Mourning,Georgetown University,838,25975,14311,7137,946,.527,.247,.692,31.0,17.1,8.5,1.1,89.7,.166
3,MIN,Christian Laettner,Duke University,868,25760,11121,5806,2224,.480,.261,.820,29.7,12.8,6.7,2.6,64.9,.121
4,DAL,Jim Jackson,Ohio State University,885,29067,12690,4152,2851,.428,.365,.825,32.8,14.3,4.7,3.2,35.8,.059
5,DEN,LaPhonso Ellis,University of Notre Dame,624,17616,7410,4032,981,.452,.302,.730,28.2,11.9,6.5,1.6,32.8,.089
6,WSB,Tom Gugliotta,North Carolina State University,763,23556,9895,5589,2140,.451,.284,.757,30.9,13.0,7.3,2.8,40.2,.082
7,SAC,Walt Williams,University of Maryland,708,18818,8385,2794,1637,.425,.379,.743,26.6,11.8,3.9,2.3,33.9,.087
8,MIL,Todd Day,University of Arkansas,483,12214,5917,1649,713,.406,.345,.739,25.3,12.3,3.4,1.5,17.5,.069
9,PHI,Clarence Weatherspoon,University of Southern Mississippi,915,27736,10483,6846,1346,.471,.196,.743,30.3,11.5,7.5,1.5,58.4,.101
10,ATL,Adam Keefe,Stanford University,617,10334,3107,2556,427,.502,.071,.714,16.7,5.0,4.1,0.7,24.9,.116
11,HOU,Robert Horry,University of Alabama,1107,27069,7715,5269,2343,.425,.341,.726,24.5,7.0,4.8,2.1,66.3,.118
12,MIA,Harold Miner,University of Southern California,200,3748,1801,432,245,.460,.311,.785,18.7,9.0,2.2,1.2,4.2,.053
13,DEN,Bryant Stith,University of Virginia,586,16417,5946,1983,1178,.424,.329,.841,28.0,10.1,3.4,2.0,29.5,.086
14,IND,Malik Sealy,St. John's University,493,11720,4955,1585,816,.426,.292,.809,23.8,10.1,3.2,1.7,17.1,.070
15,LAL,Anthony Peeler,University of Missouri,827,20464,8017,2136,1956,.427,.384,.799,24.7,9.7,2.6,2.4,30.7,.072
16,LAC,Randy Woods,La Salle University,151,1093,356,93,257,.340,.305,.683,7.2,2.4,0.6,1.7,0.6,.026
17,SEA,Doug Christie,Pepperdine University,827,26079,9301,3382,2992,.426,.354,.821,31.5,11.2,4.1,3.6,55.7,.102
18,SAS,Tracy Murray,University of California Los Angeles,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096
19,DET,Don MacLean,University of California Los Angeles,319,6679,3490,1210,404,.455,.284,.765,20.9,10.9,3.8,1.3,9.4,.067
20,NYK,Hubert Davis,University of North Carolina,685,15143,5583,1045,1172,.458,.441,.837,22.1,8.2,1.5,1.7,27.7,.088
21,BOS,Jon Barry,Georgia Institute of Technology,821,13880,4715,1513,1784,.434,.392,.848,16.9,5.7,1.8,2.2,37.2,.129
22,PHO,Oliver Miller,University of Arkansas,493,11338,3625,2893,1061,.534,.116,.639,23.0,7.4,5.9,2.2,21.1,.089
23,MIL,Lee Mayberry,University of Arkansas,496,10337,2546,642,1767,.415,.377,.659,20.8,5.1,1.3,3.6,7.9,.036
24,GSW,Latrell Sprewell,University of Alabama,913,35270,16712,3724,3664,.425,.337,.804,38.6,18.3,4.1,4.0,56.3,.077
25,LAC,Elmore Spencer,University of Nevada Las Vegas,157,2641,923,555,109,.516,.000,.580,16.8,5.9,3.5,0.7,0.0,.001
26,POR,Dave Johnson,Syracuse University,59,475,204,64,17,.365,.200,.663,8.1,3.5,1.1,0.3,-0.3,-0.032
27,CHI,Byron Houston,Oklahoma State University,214,2674,835,648,114,.456,.256,.676,12.5,3.9,3.0,0.5,3.9,.069
28,MIN,Marlon Maxey,University of Texas at El Paso,98,1146,479,363,22,.542,.000,.685,11.7,4.9,3.7,0.2,2.6,.109
29,NJN,P.J. Brown,Louisiana Tech University,1089,33823,9870,8409,1661,.460,.136,.794,31.1,9.1,7.7,1.5,89.8,.128
30,DAL,Sean Rooks,University of Arizona,749,13560,4676,2877,631,.459,.091,.699,18.1,6.2,3.8,0.8,16.2,.057
