Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,POR,Greg Oden,Ohio State University,82,1816,773,602,50,.577,,.666,22.1,9.4,7.3,0.6,6.8,.180
2,SEA,Kevin Durant,University of Texas at Austin,461,17595,12258,3153,1447,.475,.373,.884,38.2,26.6,6.8,3.1,69.4,.189
3,ATL,Al Horford,University of Florida,391,13435,5345,3760,1006,.539,.333,.739,34.4,13.7,9.6,2.6,43.3,.155
4,MEM,Mike Conley,Ohio State University,438,14261,5415,1234,2420,.440,.375,.788,32.6,12.4,2.8,5.5,32.5,.109
5,BOS,Jeff Green,Georgetown University,396,12848,5401,2066,644,.449,.345,.780,32.4,13.6,5.2,1.6,20.4,.076
6,MIL,Yi Jianlian,,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025
7,MIN,Corey Brewer,University of Florida,386,9392,3685,1180,630,.416,.298,.697,24.3,9.5,3.1,1.6,8.5,.044
8,CHA,Brandan Wright,University of North Carolina,227,3383,1496,779,93,.573,.000,.665,14.9,6.6,3.4,0.4,11.4,.162
9,CHI,Joakim Noah,University of Florida,396,11344,3709,3586,851,.507,.000,.727,28.6,9.4,9.1,2.1,39.5,.167
10,SAC,Spencer Hawes,University of Washington,420,9965,3777,2540,753,.467,.315,.683,23.7,9.0,6.0,1.8,13.3,.064
11,ATL,Acie Law,Texas A&M University,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032
12,PHI,Thaddeus Young,Georgia Institute of Technology,437,12798,5661,2369,522,.512,.332,.697,29.3,13.0,5.4,1.2,32.0,.120
13,NOK,Julian Wright,University of Kansas,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061
14,LAC,Al Thornton,Florida State University,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035
15,DET,Rodney Stuckey,Eastern Washington University,410,12095,5479,1255,1736,.421,.288,.826,29.5,13.4,3.1,4.2,20.5,.081
16,WAS,Nick Young,University of Southern California,416,9590,4714,804,421,.427,.374,.827,23.1,11.3,1.9,1.0,9.9,.050
17,NJN,Sean Williams,Boston College,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073
18,GSW,Marco Belinelli,,360,8049,3254,643,533,.418,.387,.808,22.4,9.0,1.8,1.5,10.9,.065
19,LAL,Javaris Crittenton,Georgia Institute of Technology,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002
20,MIA,Jason Smith,Colorado State University,300,4690,1676,988,157,.473,.259,.761,15.6,5.6,3.3,0.5,7.7,.079
21,PHI,Daequan Cook,Ohio State University,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039
22,CHA,Jared Dudley,Boston College,449,10860,4019,1636,675,.473,.405,.743,24.2,9.0,3.6,1.5,26.5,.117
23,NYK,Wilson Chandler,DePaul University,305,9435,4167,1587,536,.451,.335,.788,30.9,13.7,5.2,1.8,13.3,.067
24,PHO,Rudy Fernandez,,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114
