Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,LAC,Blake Griffin,University of Oklahoma,228,8102,4653,2368,821,.529,.206,.611,35.5,20.4,10.4,3.6,29.7,.176
2,MEM,Hasheem Thabeet,University of Connecticut,201,2165,456,555,26,.567,,.587,10.8,2.3,2.8,0.1,4.8,.106
3,OKC,James Harden,Arizona State University,298,8858,4818,1130,997,.441,.370,.842,29.7,16.2,3.8,3.3,33.8,.183
4,SAC,Tyreke Evans,University of Memphis,257,8962,4486,1231,1245,.449,.276,.765,34.9,17.5,4.8,4.8,14.1,.075
5,MIN,Ricky Rubio,,98,3095,1044,400,754,.359,.317,.800,31.6,10.7,4.1,7.7,5.0,.078
6,MIN,Jonny Flynn,Syracuse University,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-0.015
7,GSW,Stephen Curry,Davidson College,258,9100,4941,1044,1581,.465,.446,.901,35.3,19.2,4.0,6.1,24.7,.130
8,NYK,Jordan Hill,University of Arizona,187,2758,1038,833,78,.494,.000,.674,14.7,5.6,4.5,0.4,6.0,.104
9,TOR,DeMar DeRozan,University of Southern California,304,9734,4611,1069,533,.453,.239,.811,32.0,15.2,3.5,1.8,12.7,.063
10,MIL,Brandon Jennings,,291,10068,4946,988,1661,.394,.354,.813,34.6,17.0,3.4,5.7,19.4,.092
11,NJN,Terrence Williams,University of Louisville,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-0.004
12,CHA,Gerald Henderson,Duke University,234,5980,2651,737,417,.448,.272,.792,25.6,11.3,3.1,1.8,7.0,.056
13,IND,Tyler Hansbrough,University of North Carolina,246,4854,2195,1167,135,.427,.000,.766,19.7,8.9,4.7,0.5,12.8,.126
14,PHO,Earl Clark,University of Louisville,197,2769,854,612,113,.414,.325,.676,14.1,4.3,3.1,0.6,2.6,.045
15,DET,Austin Daye,Gonzaga University,237,3640,1327,662,187,.410,.356,.784,15.4,5.6,2.8,0.8,4.4,.058
16,CHI,James Johnson,Wake Forest University,219,4018,1369,707,317,.443,.273,.678,18.3,6.3,3.2,1.4,3.5,.042
17,PHI,Jrue Holiday,University of California Los Angeles,298,9790,3994,1064,1726,.437,.374,.781,32.9,13.4,3.6,5.8,14.4,.071
18,MIN,Ty Lawson,University of North Carolina,279,8058,3690,758,1482,.486,.380,.775,28.9,13.2,2.7,5.3,24.7,.147
19,ATL,Jeff Teague,Wake Forest University,287,6493,2586,508,1160,.451,.346,.820,22.6,9.0,1.8,4.0,14.3,.106
20,UTA,Eric Maynor,Virginia Commonwealth University,236,3569,1059,309,708,.400,.354,.731,15.1,4.5,1.3,3.0,3.7,.050
