Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,HOU,Ralph Sampson,University of Virginia,456,13591,7039,4011,1038,.486,.172,.661,29.8,15.4,8.8,2.3,20.1,.071
2,IND,Steve Stipanovich,University of Missouri,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116
3,HOU,Rodney McCray,University of Louisville,768,24876,9014,5087,2750,.503,.260,.761,32.4,11.7,6.6,3.6,56.0,.108
4,SDC,Byron Scott,Arizona State University,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120
5,CHI,Sidney Green,University of Nevada Las Vegas,679,13247,5080,4128,635,.454,.037,.738,19.5,7.5,6.1,0.9,17.4,.063
6,GSW,Russell Cross,Purdue University,45,354,166,82,22,.571,,.418,7.9,3.7,1.8,0.5,0.8,.106
7,UTA,Thurl Bailey,North Carolina State University,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087
8,DET,Antoine Carr,Wichita State University,987,19780,9176,3384,1086,.503,.130,.780,20.0,9.3,3.4,1.1,42.1,.102
9,DAL,Dale Ellis,University of Tennessee,1209,34778,19004,4201,1746,.479,.403,.784,28.8,15.7,3.5,1.4,84.7,.117
10,WSB,Jeff Malone,Mississippi State University,905,29660,17231,2364,2154,.484,.268,.871,32.8,19.0,2.6,2.4,54.2,.088
11,DAL,Derek Harper,University of Illinois at Urbana-Champaign,1199,37786,16006,2884,6577,.463,.354,.745,31.5,13.3,2.4,5.5,86.8,.110
12,NYK,Darrell Walker,University of Arkansas,720,18601,6389,3134,3276,.435,.059,.713,25.8,8.9,4.4,4.6,27.4,.071
13,KCK,Ennis Whatley,University of Alabama,385,7108,2150,679,1754,.468,.097,.755,18.5,5.6,1.8,4.6,9.6,.065
14,POR,Clyde Drexler,University of Houston,1086,37537,22195,6677,6125,.472,.318,.788,34.6,20.4,6.1,5.6,135.6,.173
15,DEN,Howard Carter,Louisiana State University,66,754,351,89,75,.440,.227,.774,11.4,5.3,1.3,1.1,0.0,-0.002
16,SEA,Jon Sundvold,University of Missouri,502,8811,3886,554,1469,.452,.392,.849,17.6,7.7,1.1,2.9,8.9,.048
