Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
17,PHI,Leo Rautins,Syracuse University,32,208,48,35,32,.350,,.600,6.5,1.5,1.1,1.0,-0.1,-0.030
18,MIL,Randy Breuer,University of Minnesota,681,12499,4599,2986,616,.467,.000,.628,18.4,6.8,4.4,0.9,20.9,.080
19,SAS,John Paxson,University of Notre Dame,772,17257,5560,906,2758,.499,.355,.804,22.4,7.2,1.2,3.6,36.3,.101
20,CLE,Roy Hinson,Rutgers University,507,15543,7206,3452,495,.499,.000,.741,30.7,14.2,6.8,1.0,30.2,.093
21,BOS,Greg Kite,Brigham Young University,680,10080,1717,2607,345,.438,.167,.486,14.8,2.5,3.8,0.5,5.6,.027
22,WSB,Randy Wittman,Indiana University,543,11594,4034,760,1201,.501,.321,.753,21.4,7.4,1.4,2.2,17.2,.071
23,IND,Mitchell Wiggins,Florida State University,389,8105,3877,1235,609,.460,.192,.755,20.8,10.0,3.2,1.6,15.2,.090
24,CLE,Stewart Granger,Villanova University,80,996,316,78,173,.414,.235,.742,12.5,4.0,1.0,2.2,-0.1,-0.005
25,CHI,Sidney Lowe,North Carolina State University,193,3422,562,335,749,.367,.133,.764,17.7,2.9,1.7,3.9,3.9,.055
26,IND,Leroy Combs,Oklahoma State University,48,446,218,56,38,.497,.000,.615,9.3,4.5,1.2,0.8,0.4,.041
27,CLE,John Garris,Boston College,33,267,131,77,10,.510,,.794,8.1,4.0,2.3,0.3,0.9,.166
28,PHO,Rod Foster,University of California Los Angeles,207,3446,1562,258,479,.440,.298,.768,16.6,7.5,1.2,2.3,2.2,.031
29,CHI,Larry Micheaux,University of Houston,96,897,330,256,49,.567,.000,.610,9.3,3.4,2.7,0.5,2.5,.134
30,DAL,Mark West,Old Dominion University,1090,20213,6259,5347,428,.580,.000,.568,18.5,5.7,4.9,0.4,41.9,.100
31,ATL,Doc Rivers,Marquette University,864,23567,9377,2625,4889,.444,.328,.784,27.3,10.9,3.0,5.7,68.2,.139
32,WSB,Michael Britt,University of the District of Columbia,,,,,,,,,,,,,,
33,DAL,Dirk Minniefield,University of Kentucky,222,3801,1187,367,845,.470,.272,.739,17.1,5.3,1.7,3.8,4.1,.052
34,WSB,Guy Williams,Washington State University,26,144,68,33,9,.456,.250,.455,5.5,2.6,1.3,0.3,0.2,.055
35,SAS,Darrell Lockhart,Auburn University,2,14,4,3,0,1.000,,,7.0,2.0,1.5,0.0,0.0,-0.048
36,SEA,Scooter McCray,University of Louisville,77,892,224,190,74,.423,,.611,11.6,2.9,2.5,1.0,0.4,.023
37,DEN,David Russell,St. John's University,,,,,,,,,,,,,,
38,KCK,Chris McNealy,San Jose State University,108,1864,466,494,110,.456,,.658,17.3,4.3,4.6,1.0,2.6,.066
39,POR,Granville Waiters,Ohio State University,249,2547,606,540,121,.458,.000,.559,10.2,2.4,2.2,0.5,1.9,.036
40,IND,Jim Thomas,Indiana University,161,3361,1355,418,377,.471,.170,.763,20.9,8.4,2.6,2.3,4.9,.071
41,MIL,Ted Kitchel,Indiana University,,,,,,,,,,,,,,
42,MIL,Mike Davis,University of Alabama,,,,,,,,,,,,,,
43,GSW,Pace Mannion,University of Utah,216,2125,660,259,231,.413,.203,.663,9.8,3.1,1.2,1.1,1.7,.038
44,NJN,Horace Owens,University of Rhode Island,,,,,,,,,,,,,,
45,PHO,Paul Williams,Arizona State University,,,,,,,,,,,,,,
46,SAS,Kevin Williams,St. John's University,260,2947,1268,356,319,.435,.077,.805,11.3,4.9,1.4,1.2,2.6,.042
47,PHI,Ken Lyons,North Texas State University,,,,,,,,,,,,,,
48,HOU,Craig Ehlo,Washington State University,873,21071,7492,3139,2456,.453,.369,.689,24.1,8.6,3.6,2.8,41.2,.094
49,IND,Greg Jones,West Virginia University,,,,,,,,,,,,,,
50,CLE,Paul Thompson,Tulane University,154,3105,1374,533,224,.432,.210,.792,20.2,8.9,3.5,1.5,4.9,.076
51,PHO,Derek Whittenburg,North Carolina State University,,,,,,,,,,,,,,
52,BOS,Winfred King,East Tennessee State University,,,,,,,,,,,,,,
53,GSW,Mike Holton,University of California Los Angeles,325,5836,2016,459,977,.441,.257,.807,18.0,6.2,1.4,3.0,4.8,.039
54,UTA,Robert Hansen,University of Iowa,,,,,,,,,,,,,,
55,DET,Erich Santifer,Syracuse University,,,,,,,,,,,,,,
56,CLE,Larry Anderson,University of Nevada Las Vegas,,,,,,,,,,,,,,
57,WSB,Darren Daye,University of California Los Angeles,328,5208,2225,844,672,.491,.118,.681,15.9,6.8,2.6,2.0,9.3,.086
58,ATL,John Pinone,Villanova University,7,65,20,10,3,.538,,.600,9.3,2.9,1.4,0.4,0.1,.040
59,NJN,Bruce Kuczenski,University of Connecticut,15,119,28,23,8,.270,,.667,7.9,1.9,1.5,0.5,-0.4,-0.152
60,KCK,Steve Harriel,Washington State University,,,,,,,,,,,,,,
61,DEN,David Little,University of Oklahoma,,,,,,,,,,,,,,
62,POR,Tom Piotrowski,La Salle University,18,78,30,16,5,.462,,1.000,4.3,1.7,0.9,0.3,0.1,.070
63,SEA,Frank Burnell,Stetson University,,,,,,,,,,,,,,
64,PHI,Claude Riley,Texas A&M University,,,,,,,,,,,,,,
65,MIL,Billy Goodwin,St. John's University,,,,,,,,,,,,,,
66,CLE,Les Craft,Kansas State University,,,,,,,,,,,,,,
67,CLE,Derrick Hord,University of Kentucky,,,,,,,,,,,,,,
68,BOS,Craig Robinson,University of Virginia,,,,,,,,,,,,,,
69,LAL,Orlando Phillips,Pepperdine University,,,,,,,,,,,,,,
70,PHI,Dan Ruland,James Madison University,,,,,,,,,,,,,,
71,HOU,Darrell Browder,Texas Christian University,,,,,,,,,,,,,,
72,IND,Terry Fair,University of Georgia,,,,,,,,,,,,,,
73,CLE,Dwight Jones,University of Cincinnati,,,,,,,,,,,,,,
74,PHI,Kalpatrick Wells,Mississippi State University,,,,,,,,,,,,,,
75,CHI,Ron Crevier,Boston College,3,4,0,1,0,.000,,.000,1.3,0.0,0.3,0.0,-0.1,-0.795
76,UTA,Doug Arnold,Texas Christian University,,,,,,,,,,,,,,
77,GSW,Peter Thibeaux,Saint Mary's College of California,93,992,462,144,45,.453,.286,.626,10.7,5.0,1.5,0.5,0.1,.005
78,DET,Steve Bouchie,Indiana University,,,,,,,,,,,,,,
79,DAL,Johnny Martin,Northwestern State University,,,,,,,,,,,,,,
80,WSB,Dan Gay,University of Louisiana at Lafayette,,,,,,,,,,,,,,
81,ATL,Harry Kelley,Texas Southern University,,,,,,,,,,,,,,
82,NYK,Mark Jones,St. Bonaventure University,6,16,7,2,5,.500,.000,.500,2.7,1.2,0.3,0.8,0.0,.070
83,DEN,York Gross,University of California Santa Barbara,,,,,,,,,,,,,,
84,KCK,Mike Jackson,University of Wyoming,,,,,,,,,,,,,,
85,POR,Tim Dunham,Chaminade University of Honolulu,,,,,,,,,,,,,,
86,SEA,Pete DeBisschop,Fairfield University,,,,,,,,,,,,,,
87,NJN,Barney Mines,Bradley University,,,,,,,,,,,,,,
88,MIL,Mark Nickens,American University,,,,,,,,,,,,,,
89,PHO,Sam Mosley,University of Nevada Reno,,,,,,,,,,,,,,
90,SAS,Brant Weidner,College of William & Mary,8,38,8,11,0,.222,,1.000,4.8,1.0,1.4,0.0,0.0,-0.014
91,BOS,Carlos Clark,University of Mississippi,93,689,223,86,65,.407,.000,.803,7.4,2.4,0.9,0.7,0.6,.044
92,LAL,Terry Lewis,Mississippi State University,,,,,,,,,,,,,,
93,PHI,Craig Robinson,Princeton University,,,,,,,,,,,,,,
94,HOU,Chuck Barnett,University of Oklahoma,,,,,,,,,,,,,,
95,IND,Roger Stieg,University of Mississippi,,,,,,,,,,,,,,
96,CLE,Chris Logan,College of the Holy Cross,,,,,,,,,,,,,,
97,SDC,Manute Bol,,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051
98,CHI,Tim Andree,University of Notre Dame,,,,,,,,,,,,,,
99,GSW,Greg Hines,Hampton University,,,,,,,,,,,,,,
100,UTA,Matt Clark,Oklahoma State University,,,,,,,,,,,,,,
101,DET,Ken Austin,Rice University,7,28,12,3,1,.462,,,4.0,1.7,0.4,0.1,0.0,-0.046
102,DAL,Jim Lampley,University of Arkansas at Little Rock,1,16,3,5,0,.333,,.500,16.0,3.0,5.0,0.0,0.0,-0.003
103,WSB,Robin Dixon,University of New Hampshire,,,,,,,,,,,,,,
104,ATL,Charles Jones,University of Oklahoma,,,,,,,,,,,,,,
105,NYK,Troy Lee Mikell,East Tennessee State University,,,,,,,,,,,,,,
106,KCK,Lorenza Andrews,Oklahoma State University,,,,,,,,,,,,,,
107,DEN,James Braddock,University of North Carolina,,,,,,,,,,,,,,
108,POR,Gary Monroe,Wright State University,,,,,,,,,,,,,,
109,SEA,Brad Watson,University of Washington,,,,,,,,,,,,,,
110,NJN,Tyren Naulls,Texas A&M University,,,,,,,,,,,,,,
111,MIL,Mark Petteway,University of New Orleans,,,,,,,,,,,,,,
112,SAS,Jeff Pehl,University of Richmond,,,,,,,,,,,,,,
113,PHO,Rick Lamb,Illinois State University,,,,,,,,,,,,,,
114,BOS,Bob Reitz,Stonehill College,,,,,,,,,,,,,,
115,LAL,Danny Dixon,Alabama A&M University,,,,,,,,,,,,,,
116,PHI,Mike Milligan,Tennessee State University,,,,,,,,,,,,,,
117,HOU,Jim Stack,Northwestern University,,,,,,,,,,,,,,
118,IND,Cliff Pruitt,University of Alabama at Birmingham,,,,,,,,,,,,,,
119,CLE,Mel McLaughlin,Central Michigan University,,,,,,,,,,,,,,
120,MIL,Russell Todd,West Virginia University,,,,,,,,,,,,,,
121,CHI,Ernest Patterson,New Mexico State University,,,,,,,,,,,,,,
122,UTA,Fred Gilliam,Clemson University,,,,,,,,,,,,,,
123,GSW,Tom Heywood,Weber State University,,,,,,,,,,,,,,
124,DET,Derek Perry,Michigan State University,,,,,,,,,,,,,,
125,DAL,Billy Allen,University of Nevada Reno,,,,,,,,,,,,,,
126,WSB,Donald Carroll,Saint Augustine's College,,,,,,,,,,,,,,
127,ATL,Tom Bethea,University of Richmond,,,,,,,,,,,,,,
128,NYK,Tony Simms,Boston University,,,,,,,,,,,,,,
129,DEN,Glenn Green,Murray State University,,,,,,,,,,,,,,
130,KCK,Alvis Rogers,Wake Forest University,,,,,,,,,,,,,,
131,POR,Derrick Pope,University of Montana,,,,,,,,,,,,,,
132,SEA,Tony Wilson,Western Kentucky University,,,,,,,,,,,,,,
133,NJN,Oscar Taylor,University of New Orleans,,,,,,,,,,,,,,
134,MIL,Charles Hurt,University of Kentucky,,,,,,,,,,,,,,
135,PHO,Edward Bona,Fordham University,,,,,,,,,,,,,,
136,SAS,Ricky Hooker,St. Mary's University,,,,,,,,,,,,,,
137,BOS,Paul Atkins,Houston Baptist University,,,,,,,,,,,,,,
138,LAL,Mark Steele,Colorado State University,,,,,,,,,,,,,,
139,PHI,Sedale Threatt,West Virginia University Institute of Technology,951,22436,9327,1709,3613,.485,.293,.815,23.6,9.8,1.8,3.8,48.0,.103
140,HOU,Brian Kellerman,University of Idaho,,,,,,,,,,,,,,
141,IND,Tony Brown,Indiana University,,,,,,,,,,,,,,
142,CLE,John Columbo,John Carroll University,,,,,,,,,,,,,,
143,SDC,Dan Evans,Oregon State University,,,,,,,,,,,,,,
144,CHI,Jacque Hill,University of Southern California,,,,,,,,,,,,,,
145,GSW,Peter Williams,University of Utah,,,,,,,,,,,,,,
146,UTA,Joe Kazanowski,,,,,,,,,,,,,,,
147,DET,Rob Gonzalez,University of Colorado,,,,,,,,,,,,,,
148,DAL,Terrell Schlundt,Marquette University,,,,,,,,,,,,,,
149,WSB,Danny Womack,Winston-Salem State University,,,,,,,,,,,,,,
150,ATL,Lex Drum,University of Alabama at Birmingham,,,,,,,,,,,,,,
151,NYK,Desi Barimore,California State University Fresno,,,,,,,,,,,,,,
152,KCK,Dane Suttle,Pepperdine University,46,493,272,49,48,.507,.000,.857,10.7,5.9,1.1,1.0,1.0,.093
153,DEN,Maurice McDaniel,Cawtaba College,,,,,,,,,,,,,,
154,POR,Paul Little,University of Pennsylvania,,,,,,,,,,,,,,
155,SEA,Tony Gattis,Mercer University,,,,,,,,,,,,,,
156,NJN,Keith Bennett,Sacred Heart University,,,,,,,,,,,,,,
157,MIL,Anthony Hicks,Xavier University,,,,,,,,,,,,,,
158,SAS,Keith Williams,Oklahoma Panhandle State University,,,,,,,,,,,,,,
159,PHO,Fred Brown,Virginia Commonwealth University,,,,,,,,,,,,,,
160,BOS,Ron Jackson,Providence College,,,,,,,,,,,,,,
161,LAL,Ricky Mixon,California State University Fullerton,,,,,,,,,,,,,,
162,PHI,Tony Bruin,Syracuse University,,,,,,,,,,,,,,
163,HOU,Jeff Bolding,Arkansas State University,,,,,,,,,,,,,,
164,IND,Ray McCallum,Ball State University,,,,,,,,,,,,,,
165,CLE,Larry Tucker,Lewis University,,,,,,,,,,,,,,
166,SDC,Mark Gannon,University of Iowa,,,,,,,,,,,,,,
167,CHI,Terry Bradley,Chicago State University,,,,,,,,,,,,,,
168,UTA,Michael McCombs,College of Santa Fe,,,,,,,,,,,,,,
169,GSW,Doug Harris,Central Washington University,,,,,,,,,,,,,,
170,DET,George Wenzel,Augustana College (IL),,,,,,,,,,,,,,
171,DAL,Bill Sadler,Pepperdine University,,,,,,,,,,,,,,
172,WSB,Bernard Perry,Howard University,,,,,,,,,,,,,,
173,ATL,George Thomas,Georgia Institute of Technology,,,,,,,,,,,,,,
174,NYK,Mike Lang,Pennsylvania State University,,,,,,,,,,,,,,
175,DEN,Cliff Tribus,Davidson College,,,,,,,,,,,,,,
176,KCK,Preston Neumayr,University of California Davis,,,,,,,,,,,,,,
177,POR,Frank Smith,University of Arizona,,,,,,,,,,,,,,
178,SEA,Ray Smith,Armstrong Atlantic State University,,,,,,,,,,,,,,
179,NJN,Joe Myers,Duquesne University,,,,,,,,,,,,,,
180,MIL,Brett Burkholder,DePaul University,,,,,,,,,,,,,,
181,PHO,Mike Mulquin,Villanova University,,,,,,,,,,,,,,
182,SAS,Norville Brown,Oklahoma Christian University,,,,,,,,,,,,,,
183,BOS,Trent Johnson,University of Pittsburgh,,,,,,,,,,,,,,
184,PHI,Gordon Austin,American University,,,,,,,,,,,,,,
185,HOU,James Campbell,Oklahoma City University,,,,,,,,,,,,,,
186,IND,Lynn Mitchem,Butler University,,,,,,,,,,,,,,
187,CLE,Joe Brown,Georgia State University,,,,,,,,,,,,,,
188,SDC,David Maxwell,Fordham University,,,,,,,,,,,,,,
189,CHI,Ray Orange,Oklahoma Christian University,,,,,,,,,,,,,,
190,GSW,Greg Goorjiam,Loyola Marymount University,,,,,,,,,,,,,,
191,UTA,Ron Webb,Oklahoma Christian University,,,,,,,,,,,,,,
192,DET,Marlow McLain,Eastern Michigan University,,,,,,,,,,,,,,
193,DAL,Sherrod Arnold,Chicago State University,,,,,,,,,,,,,,
194,WSB,Ricky Moreland,University of Maryland Baltimore County,,,,,,,,,,,,,,
195,ATL,Wil Kotchery,Rutgers University,,,,,,,,,,,,,,
196,NYK,Charles Jones,Marshall University,,,,,,,,,,,,,,
197,KCK,Bernard Hill,Oklahoma Panhandle State University,,,,,,,,,,,,,,
198,DEN,Bobby Van Noy,Cawtaba College,,,,,,,,,,,,,,
199,POR,Phil Hopson,University of Idaho,,,,,,,,,,,,,,
200,SEA,Tony Washington,Hampton University,,,,,,,,,,,,,,
201,NJN,Kevin Black,Rutgers University,,,,,,,,,,,,,,
202,MIL,Bill Varner,University of Notre Dame,,,,,,,,,,,,,,
203,SAS,Gary Gaspard,St. Mary's University,,,,,,,,,,,,,,
204,PHO,Joe Dykstra,Western Illinois University,,,,,,,,,,,,,,
205,BOS,John Rice,University of Massachusetts Boston,,,,,,,,,,,,,,
206,PHI,Charles Fisher,James Madison University,,,,,,,,,,,,,,
207,IND,Mark Smed,Augustana College (SD),,,,,,,,,,,,,,
208,CLE,Jon Hanley,Xavier University,,,,,,,,,,,,,,
209,SDC,Keith Smith,San Diego State University,,,,,,,,,,,,,,
210,CHI,Tom Emma,Duke University,,,,,,,,,,,,,,
211,UTA,Odell Mosteller,Auburn University,,,,,,,,,,,,,,
212,GSW,Michael Zeno,California State University Long Beach,,,,,,,,,,,,,,
213,DET,Ike Person,University of Michigan,,,,,,,,,,,,,,
214,DAL,Clyde Corley,Florida International University,,,,,,,,,,,,,,
215,WSB,Isiah Singletary,Saint Louis University,,,,,,,,,,,,,,
216,ATL,Ronnie Carr,Western Carolina University,,,,,,,,,,,,,,
217,NYK,Bernard Randolph,DePaul University,,,,,,,,,,,,,,
218,DEN,Cleveland McCrae,Cawtaba College,,,,,,,,,,,,,,
219,KCK,Aaron Haskins,Washington State University,,,,,,,,,,,,,,
220,POR,Russ Christianson,East Oregon University,,,,,,,,,,,,,,
221,SEA,David Binion,North Carolina Central University,,,,,,,,,,,,,,
222,NJN,Rich Simkus,Princeton University,,,,,,,,,,,,,,
223,MIL,Bob Kelly,St. John's University,,,,,,,,,,,,,,
224,PHO,Bo Overton,University of Oklahoma,,,,,,,,,,,,,,
225,SAS,Lamar Heard,University of Georgia,,,,,,,,,,,,,,
226,BOS,Andy Kupec,Bentley College,,,,,,,,,,,,,,
