Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,MIL,Andrew Bogut,University of Utah,440,14126,5365,4055,1017,.519,.087,.572,32.1,12.2,9.2,2.3,32.1,.109
2,ATL,Marvin Williams,University of North Carolina,560,16549,6145,2845,731,.447,.328,.805,29.6,11.0,5.1,1.3,33.8,.098
3,UTA,Deron Williams,University of Illinois at Urbana-Champaign,584,20929,10386,1877,5241,.453,.356,.819,35.8,17.8,3.2,9.0,62.3,.143
4,NOH,Chris Paul,Wake Forest University,555,20277,10311,2426,5449,.473,.356,.858,36.5,18.6,4.4,9.8,103.0,.244
5,CHA,Raymond Felton,University of North Carolina,602,20895,8107,1978,3960,.414,.334,.787,34.7,13.5,3.3,6.6,30.2,.069
6,POR,Martell Webster,,470,11405,4191,1543,474,.419,.384,.787,24.3,8.9,3.3,1.0,19.7,.083
7,TOR,Charlie Villanueva,University of Connecticut,510,12055,5994,2684,500,.441,.346,.778,23.6,11.8,5.3,1.0,20.9,.083
8,NYK,Channing Frye,University of Arizona,500,11956,4833,2582,498,.445,.390,.814,23.9,9.7,5.2,1.0,23.4,.094
9,GSW,Ike Diogu,Arizona State University,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112
10,LAL,Andrew Bynum,,392,10174,4597,3076,461,.566,.111,.687,26.0,11.7,7.8,1.2,37.0,.174
11,ORL,Fran Vasquez,,,,,,,,,,,,,,,
12,LAC,Yaroslav Korolev,,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-0.024
13,CHA,Sean May,University of North Carolina,119,1868,821,481,115,.458,.231,.746,15.7,6.9,4.0,1.0,2.6,.068
14,MIN,Rashad McCants,University of North Carolina,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035
15,NJN,Antoine Wright,Texas A&M University,297,5714,1614,681,295,.412,.304,.674,19.2,5.4,2.3,1.0,3.1,.026
16,TOR,Joey Graham,Oklahoma State University,377,6117,2239,1058,207,.483,.300,.815,16.2,5.9,2.8,0.5,7.8,.061
17,IND,Danny Granger,University of New Mexico,515,17027,9329,2675,1039,.437,.384,.847,33.1,18.1,5.2,2.0,46.6,.131
18,BOS,Gerald Green,,272,4753,2183,616,229,.418,.351,.799,17.5,8.0,2.3,0.8,4.1,.042
19,MEM,Hakim Warrick,Syracuse University,526,10624,4947,2117,400,.490,.191,.726,20.2,9.4,4.0,0.8,20.4,.092
20,DEN,Julius Hodge,North Carolina State University,23,98,28,15,18,.440,,.500,4.3,1.2,0.7,0.8,0.0,.003
