Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
50,CHA,Ryan Hollins,University of California Los Angeles,374,4751,1511,849,119,.564,.000,.659,12.7,4.0,2.3,0.3,7.2,.073
51,LAL,Cheikh Samb,,22,114,22,31,1,.250,.000,.444,5.2,1.0,1.4,0.0,-0.1,-0.056
52,LAC,Guillermo Diaz,University of Miami,6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033
53,SEA,Yotam Halperin,,,,,,,,,,,,,,,
54,NJN,Hassan Adams,University of Arizona,73,547,185,84,14,.534,.000,.643,7.5,2.5,1.2,0.2,0.8,.072
55,CLE,Ejike Ugboaja,,,,,,,,,,,,,,,
56,TOR,Edin Bavcic,,,,,,,,,,,,,,,
57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,
58,DAL,J.R. Pinnock,George Washington University,,,,,,,,,,,,,,
59,SAS,Damir Markota,,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-0.070
60,DET,Will Blalock,Iowa State University,14,166,25,15,17,.300,.200,1.000,11.9,1.8,1.1,1.2,-0.1,-0.032
