Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
18,ORL,Curtis Borchardt,Stanford University,83,1117,258,278,64,.421,.000,.742,13.5,3.1,3.3,0.8,1.0,.041
19,UTA,Ryan Humphrey,University of Notre Dame,85,772,197,189,18,.344,.000,.539,9.1,2.3,2.2,0.2,-0.4,-0.027
20,TOR,Kareem Rush,University of Missouri,346,5956,2213,572,353,.400,.358,.703,17.2,6.4,1.7,1.0,1.7,.013
21,POR,Qyntel Woods,Northeast Mississippi Community College,167,2060,691,385,105,.452,.357,.603,12.3,4.1,2.3,0.6,1.4,.032
22,PHO,Casey Jacobsen,Stanford University,287,5320,1488,516,304,.393,.352,.769,18.5,5.2,1.8,1.1,6.2,.056
23,DET,Tayshaun Prince,University of Kentucky,806,26769,10163,3741,2121,.458,.370,.763,33.2,12.6,4.6,2.6,58.6,.105
24,NJN,Nenad Krstic,,419,10547,4210,2261,346,.494,.143,.730,25.2,10.0,5.4,0.8,21.5,.098
25,DEN,Frank Williams,University of Illinois at Urbana-Champaign,86,952,253,77,166,.352,.300,.833,11.1,2.9,0.9,1.9,0.1,.003
26,SAS,John Salmons,University of Miami,796,21676,7847,2419,2023,.436,.364,.801,27.2,9.9,3.0,2.5,32.1,.071
27,LAL,Chris Jefferies,California State University Fresno,72,861,281,88,29,.383,.365,.667,12.0,3.9,1.2,0.4,-0.5,-0.030
28,SAC,Dan Dickau,Gonzaga University,300,4617,1745,405,752,.401,.341,.831,15.4,5.8,1.4,2.5,5.9,.061
29,GSW,Steve Logan,University of Cincinnati,,,,,,,,,,,,,,
30,CHI,Roger Mason,University of Virginia,493,8887,3215,875,658,.409,.384,.863,18.0,6.5,1.8,1.3,12.7,.068
31,MEM,Robert Archibald,University of Illinois at Urbana-Champaign,44,328,51,69,16,.283,,.429,7.5,1.2,1.6,0.4,0.0,-0.004
32,DEN,Vincent Yarbrough,University of Tennessee,59,1381,406,162,130,.393,.269,.790,23.4,6.9,2.7,2.2,1.0,.035
33,MIL,Dan Gadzuric,University of California Los Angeles,527,7793,2465,2326,196,.500,.000,.498,14.8,4.7,4.4,0.4,15.8,.097
34,CLE,Carlos Boozer,Duke University,714,23068,12098,7078,1715,.529,.083,.724,32.3,16.9,9.9,2.4,74.7,.155
35,NYK,Milos Vujanic,,,,,,,,,,,,,,,
36,ATL,David Andersen,,103,1264,501,292,57,.440,.347,.674,12.3,4.9,2.8,0.6,1.5,.059
37,HOU,Tito Maddox,California State University Fresno,9,35,11,7,5,.250,.000,.625,3.9,1.2,0.8,0.6,0.0,-0.011
38,WAS,Rod Grizzard,University of Alabama,,,,,,,,,,,,,,
39,WAS,Juan Carlos Navarro,,82,2117,896,210,177,.402,.361,.849,25.8,10.9,2.6,2.2,1.4,.031
40,LAC,Mario Kasun,,73,569,198,188,11,.467,.000,.636,7.8,2.7,2.6,0.2,0.8,.069
41,MIL,Ronald Murray,Shaw University,487,11077,4817,1006,1096,.414,.304,.725,22.7,9.9,2.1,2.3,8.5,.037
42,POR,Jason Jennings,Arkansas State University,,,,,,,,,,,,,,
43,CHI,Lonny Baxter,University of Maryland,162,1884,637,477,40,.466,.200,.657,11.6,3.9,2.9,0.2,2.9,.075
44,PHI,Sam Clancy,University of Southern California,,,,,,,,,,,,,,
45,MEM,Matt Barnes,University of California Los Angeles,640,13994,4915,2883,1094,.450,.331,.730,21.9,7.7,4.5,1.7,30.5,.105
46,UTA,Jamal Sampson,University of California,72,631,142,242,26,.491,.000,.537,8.8,2.0,3.4,0.4,1.4,.106
47,MIL,Chris Owens,University of Texas at Austin,1,6,4,1,0,.667,,,6.0,4.0,1.0,0.0,0.0,-0.032
48,SEA,Peter Fehse,,,,,,,,,,,,,,,
49,BOS,Darius Songaila,Wake Forest University,495,9229,3415,1689,589,.499,.158,.844,18.6,6.9,3.4,1.2,15.9,.083
50,POR,Federico Kammerichs,,,,,,,,,,,,,,,
51,MIN,Marcus Taylor,Michigan State University,,,,,,,,,,,,,,
52,MIA,Rasual Butler,La Salle University,638,14904,5252,1640,554,.399,.358,.748,23.4,8.2,2.6,0.9,15.7,.051
53,NJN,Tamar Slay,Marshall University,66,517,173,70,31,.361,.265,.538,7.8,2.6,1.1,0.5,-0.3,-0.029
54,DAL,Mladen Sekularac,,,,,,,,,,,,,,,
55,SAS,Luis Scola,,468,13846,6645,3525,905,.504,.121,.750,29.6,14.2,7.5,1.9,34.7,.120
56,SAS,Randy Holcomb,San Diego State University,4,11,2,1,0,1.000,,,2.8,0.5,0.3,0.0,0.0,.150
57,SAC,Corsley Edwards,Central Connecticut State University,10,110,27,25,3,.323,,.583,11.0,2.7,2.5,0.3,0.1,.026
