Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,HOU,Yao Ming,,486,15818,9247,4494,769,.524,.200,.833,32.5,19.0,9.2,1.6,65.9,.200
2,CHI,Jay Williams,Duke University,75,1961,714,195,350,.399,.322,.640,26.1,9.5,2.6,4.7,0.8,.020
3,GSW,Mike Dunleavy,Duke University,757,21374,9027,3420,1796,.444,.372,.800,28.2,11.9,4.5,2.4,45.5,.102
4,MEM,Drew Gooden,University of Kansas,687,18563,8111,5196,819,.465,.227,.759,27.0,11.8,7.6,1.2,40.8,.106
5,DEN,Nikoloz Tskitishvili,,172,1946,507,307,114,.304,.235,.730,11.3,2.9,1.8,0.7,-1.6,-0.039
6,CLE,Dajuan Wagner,University of Memphis,103,2202,964,142,195,.366,.321,.770,21.4,9.4,1.4,1.9,0.0,.000
7,NYK,Nene Hilario,,627,18388,7793,4349,1210,.552,.077,.683,29.3,12.4,6.9,1.9,56.3,.147
8,LAC,Chris Wilcox,University of Maryland,628,12474,5150,3076,455,.541,.000,.643,19.9,8.2,4.9,0.7,26.9,.103
9,PHO,Amar'e Stoudemire,,670,22781,14242,5761,944,.534,.244,.763,34.0,21.3,8.6,1.4,82.8,.174
10,MIA,Caron Butler,University of Connecticut,730,25115,11320,3940,1836,.437,.339,.846,34.4,15.5,5.4,2.5,46.5,.089
11,WAS,Jared Jeffries,Indiana University,629,13579,3003,2563,798,.426,.250,.583,21.6,4.8,4.1,1.3,13.1,.046
12,LAC,Melvin Ely,California State University Fresno,373,5978,1986,1214,261,.460,.000,.625,16.0,5.3,3.3,0.7,4.0,.032
13,MIL,Marcus Haislip,University of Tennessee,89,854,311,131,16,.437,.350,.659,9.6,3.5,1.5,0.2,0.5,.026
14,IND,Fred Jones,University of Oregon,430,10299,3206,958,990,.411,.353,.809,24.0,7.5,2.2,2.3,16.5,.077
15,HOU,Bostjan Nachbar,,317,5628,2252,836,283,.406,.375,.784,17.8,7.1,2.6,0.9,8.7,.074
16,PHI,Jiri Welsch,,247,4596,1519,602,375,.403,.343,.752,18.6,6.1,2.4,1.5,5.7,.059
17,WAS,Juan Dixon,University of Maryland,436,8509,3678,816,775,.413,.341,.833,19.5,8.4,1.9,1.8,6.1,.034
