Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,SAC,Pervis Ellison,University of Louisville,474,11593,4494,3170,691,.510,.050,.689,24.5,9.5,6.7,1.5,21.8,.090
2,LAC,Danny Ferry,Duke University,917,18133,6439,2550,1185,.446,.393,.840,19.8,7.0,2.8,1.3,34.8,.092
3,SAS,Sean Elliott,University of Arizona,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109
4,MIA,Glen Rice,University of Michigan,1000,34985,18336,4387,2097,.456,.400,.846,35.0,18.3,4.4,2.1,88.7,.122
5,CHH,J.R. Reid,University of North Carolina,672,15370,5680,3381,639,.472,.135,.716,22.9,8.5,5.0,1.0,22.5,.070
6,CHI,Stacey King,University of Oklahoma,438,7406,2819,1460,387,.478,.235,.707,16.9,6.4,3.3,0.9,10.9,.071
7,IND,George McCloud,Florida State University,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068
8,DAL,Randy White,Louisiana Tech University,281,5382,2083,1366,175,.401,.193,.707,19.2,7.4,4.9,0.6,1.9,.017
9,WSB,Tom Hammonds,Georgia Institute of Technology,687,10419,3617,2243,378,.480,.000,.691,15.2,5.3,3.3,0.6,14.7,.068
10,MIN,Pooh Richardson,University of California Los Angeles,639,19399,7083,1807,4180,.444,.329,.652,30.4,11.1,2.8,6.5,26.7,.066
11,ORL,Nick Anderson,University of Illinois at Urbana-Champaign,800,24922,11529,4064,2087,.446,.356,.667,31.2,14.4,5.1,2.6,55.3,.106
12,NJN,Mookie Blaylock,University of Oklahoma,889,31026,11962,3659,5972,.409,.336,.736,34.9,13.5,4.1,6.7,71.8,.111
13,BOS,Michael Smith,Brigham Young University,141,1328,698,212,142,.474,.150,.835,9.4,5.0,1.5,1.0,1.4,.049
14,GSW,Tim Hardaway,University of Texas at El Paso,867,30626,15373,2855,7095,.431,.355,.782,35.3,17.7,3.3,8.2,85.0,.133
15,DEN,Todd Lichti,Stanford University,237,4240,1870,505,325,.460,.244,.789,17.9,7.9,2.1,1.4,5.6,.063
16,SEA,Dana Barros,Boston College,850,19480,8901,1609,2837,.460,.411,.858,22.9,10.5,1.9,3.3,49.6,.122
17,SEA,Shawn Kemp,Trinity Valley Community College,1051,29293,15347,8834,1704,.488,.277,.741,27.9,14.6,8.4,1.6,89.5,.147
18,CHI,B.J. Armstrong,University of Iowa,747,17790,7320,1321,2479,.477,.425,.856,23.8,9.8,1.8,3.3,45.0,.121
19,PHI,Kenny Payne,University of Louisville,144,1167,508,170,61,.410,.293,.859,8.1,3.5,1.2,0.4,-0.1,-0.005
20,CHI,Jeff Sanders,Georgia Southern University,55,462,112,103,25,.395,,.609,8.4,2.0,1.9,0.5,-0.1,-0.008
21,UTA,Blue Edwards,East Carolina University,704,18409,7585,2376,1409,.475,.335,.779,26.1,10.8,3.4,2.0,24.2,.063
22,POR,Byron Irvin,University of Missouri,87,849,451,123,73,.471,.350,.722,9.8,5.2,1.4,0.8,2.1,.121
23,ATL,Roy Marble,University of Iowa,29,194,55,32,12,.257,.000,.594,6.7,1.9,1.1,0.4,-0.5,-0.122
24,PHO,Anthony Cook,University of Arizona,116,1499,418,428,34,.439,.000,.524,12.9,3.6,3.7,0.3,1.0,.033
25,CLE,John Morton,Seton Hall University,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013
26,LAL,Vlade Divac,,1134,33838,13398,9326,3541,.495,.235,.692,29.8,11.8,8.2,3.1,96.4,.137
27,DET,Kenny Battle,University of Illinois at Urbana-Champaign,134,1795,627,327,106,.504,.133,.725,13.4,4.7,2.4,0.8,3.7,.098
28,MIA,Sherman Douglas,Syracuse University,765,21148,8425,1672,4536,.484,.267,.678,27.6,11.0,2.2,5.9,32.9,.075
29,CHH,Dyron Nix,University of Tennessee,20,109,39,26,5,.359,,.688,5.5,2.0,1.3,0.3,0.0,-0.015
30,MIL,Frank Kornet,Vanderbilt University,89,595,171,95,30,.369,.263,.596,6.7,1.9,1.1,0.3,0.0,-0.004
31,LAC,Jeff Martin,Murray State University,143,2685,956,290,109,.417,.282,.694,18.8,6.7,2.0,0.8,2.1,.038
