Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,NYK,Patrick Ewing,Georgetown University,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150
2,IND,Wayman Tisdale,University of Oklahoma,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092
3,LAC,Benoit Benjamin,Creighton University,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072
4,SEA,Xavier McDaniel,Wichita State University,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091
5,ATL,Jon Koncak,Southern Methodist University,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085
6,SAC,Joe Kleine,University of Arkansas,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062
7,GSW,Chris Mullin,St. John's University,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139
8,DAL,Detlef Schrempf,University of Washington,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156
9,CLE,Charles Oakley,Virginia Union University,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107
10,PHO,Ed Pinckney,Villanova University,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130
11,CHI,Keith Lee,University of Memphis,182,2907,1114,861,178,.451,.167,.746,16.0,6.1,4.7,1.0,3.7,.062
12,WSB,Kenny Green,Wake Forest University,60,625,265,101,16,.412,.000,.721,10.4,4.4,1.7,0.3,-0.3,-0.022
13,UTA,Karl Malone,Louisiana Tech University,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205
14,SAS,Alfredrick Hughes,Loyola University of Chicago,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-0.029
15,DEN,Blair Rasmussen,University of Oregon,532,11409,5119,3006,467,.472,.257,.767,21.4,9.6,5.7,0.9,19.0,.080
16,DAL,Bill Wennington,St. John's University,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087
17,DAL,Uwe Blab,Indiana University,235,1966,505,413,102,.433,,.608,8.4,2.1,1.8,0.4,0.4,.009
