Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,CLE,LeBron James,,765,30374,21081,5553,5302,.490,.337,.747,39.7,27.6,7.3,6.9,152.6,.241
2,DET,Darko Milicic,,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040
3,DEN,Carmelo Anthony,Syracuse University,713,25856,17846,4551,2181,.456,.334,.808,36.3,25.0,6.4,3.1,72.4,.134
4,TOR,Chris Bosh,Georgia Institute of Technology,717,26071,13970,6370,1485,.496,.288,.799,36.4,19.5,8.9,2.1,88.0,.162
5,MIA,Dwyane Wade,Marquette University,665,24556,16453,3364,4049,.489,.289,.767,36.9,24.7,5.1,6.1,99.9,.195
6,LAC,Chris Kaman,Central Michigan University,606,17396,7122,4845,787,.485,.000,.744,28.7,11.8,8.0,1.3,20.7,.057
7,CHI,Kirk Hinrich,University of Kansas,694,22658,8414,2193,3738,.415,.379,.805,32.6,12.1,3.2,5.4,47.2,.100
8,MIL,T.J. Ford,University of Texas at Austin,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068
9,NYK,Mike Sweetney,Georgetown University,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103
10,WAS,Jarvis Hayes,University of Georgia,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049
11,GSW,Mickael Pietrus,,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079
12,SEA,Nick Collison,University of Kansas,669,15247,4561,3936,677,.541,.048,.731,22.8,6.8,5.9,1.0,37.4,.118
13,MEM,Marcus Banks,University of Nevada Las Vegas,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057
14,SEA,Luke Ridnour,University of Oregon,722,19799,7246,1712,3441,.434,.351,.866,27.4,10.0,2.4,4.8,35.3,.086
15,ORL,Reece Gaines,University of Louisville,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-0.049
16,BOS,Troy Bell,Boston College,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-0.326
17,PHO,Zarko Cabarkapa,,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035
18,NOH,David West,Xavier University,669,21520,10782,4849,1395,.491,.255,.828,32.2,16.1,7.2,2.1,62.0,.138
19,UTA,Sasha Pavlovic,,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038
20,BOS,Dahntay Jones,Duke University,589,9622,3310,1064,524,.441,.334,.751,16.3,5.6,1.8,0.9,9.7,.049
21,ATL,Boris Diaw,,755,22141,6891,3569,2883,.495,.337,.709,29.3,9.1,4.7,3.8,38.1,.083
22,NJN,Zoran Planinic,,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046
23,POR,Travis Outlaw,,559,11961,4930,1806,466,.425,.335,.741,21.4,8.8,3.2,0.8,15.2,.061
24,LAL,Brian Cook,University of Illinois at Urbana-Champaign,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086
25,DET,Carlos Delfino,,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093
